STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL PERCENT,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
0,AL,Alabama,1,H4AL01123,(I),Bradley,Byrne,"Byrne, Bradley",,R,Unopposed,,,,"103,758","68,16%",,,,,W,
1,AL,Alabama,1,H4AL01156,,Burton R.,LeFlore,"LeFlore, Burton R.",,D,Unopposed,,,,"48,278","31,71%",,,,,,
2,AL,Alabama,1,n/a,,,,Scattered,,W,,,,,198,"0,13%",,,,,,
3,AL,Alabama,1,n/a,,,,,District Votes:,,,,,,"152,234",,,,,,,
4,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
5,AL,Alabama,2,H0AL02087,(I),Martha,Roby,"Roby, Martha",,R,Unopposed,,,,"113,103","67,34%",,,,,W,
6,AL,Alabama,2,H4AL02071,,Erick,Wright,,,D,Unopposed,,,,"54,692","32,56%",,,,,,
7,AL,Alabama,2,n/a,,,,Scattered,,W,,,,,157,"0,09%",,,,,,
8,AL,Alabama,2,n/a,,,,,District Votes:,,,,,,"167,952",,,,,,,
9,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
10,AL,Alabama,3,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,"50,372","75,89%",,,"103,558","66,12%",,,,,W,
11,AL,Alabama,3,H4AL03053,,Thomas,Casson,"Casson, Thomas",,R,"15,999","24,11%",,,,,,,,,,
12,AL,Alabama,3,n/a,,,,,Party Votes:,R,"66,371",,,,,,,,,,,
13,AL,Alabama,3,H4AL03061,,Jesse T.,Smith,"Smith, Jesse T.",,D,Unopposed,,,,"52,816","33,72%",,,,,,
14,AL,Alabama,3,n/a,,,,Scattered,,W,,,,,246,"0,16%",,,,,,
15,AL,Alabama,3,n/a,,,,,District Votes:,,"66,371",,,,"156,62",,,,,,,
16,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
