S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,Game
10,23,33,1,13,22,31,0,6,15,24,30,30,18,29,37,7,11,21,31,200,177,227,426,413,313,282,482,476,461,437,437,427,409,380,343,593,582,561,530,fake
4,8,15,21,29,38,3,9,18,25,35,2,11,17,27,35,3,14,22,32,196,188,173,152,123,85,282,273,255,230,195,595,584,684,657,622,819,805,705,673,fake
9,17,23,31,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,191,91,68,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
7,10,16,22,31,0,6,13,16,23,30,30,30,30,20,26,37,4,13,23,300,300,284,184,153,353,347,334,318,295,295,285,275,265,265,239,202,398,385,362,real
11,23,33,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,189,166,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fake
8,18,25,27,36,8,15,20,26,36,8,18,26,31,37,2,9,15,22,31,192,174,149,122,22,214,199,199,173,223,415,397,371,340,303,553,544,529,379,348,real
3,11,22,26,31,39,7,10,20,31,1,5,18,23,32,2,6,10,16,19,197,186,286,260,229,190,490,490,490,459,658,653,635,612,580,630,624,624,608,589,fake
8,18,28,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,192,174,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fake
5,12,19,26,38,9,13,19,29,32,38,10,16,25,35,37,0,10,19,29,195,183,164,138,100,291,278,259,230,198,160,360,344,319,284,247,447,447,428,399,real
10,21,27,38,6,15,20,32,1,4,13,23,30,30,30,30,30,30,30,20,200,179,152,114,308,293,293,261,460,456,443,420,420,410,400,390,380,370,360,360,fake
7,13,20,28,37,0,7,12,22,24,33,38,5,14,21,26,33,1,10,14,100,87,87,59,22,222,322,310,360,336,386,348,543,529,508,482,682,881,881,867,real
3,12,20,23,32,0,5,10,18,26,33,38,4,15,20,24,29,34,3,6,197,185,185,162,130,330,325,325,307,281,331,293,489,474,474,450,421,387,584,578,real
4,16,23,33,0,11,18,25,31,0,8,15,21,29,33,39,3,11,17,22,196,180,157,257,457,446,428,403,372,572,564,549,528,499,599,560,757,746,646,496,real
9,14,18,24,28,38,3,10,17,24,27,36,36,36,36,36,36,36,36,36,191,177,159,135,107,69,266,266,116,92,65,0,0,0,0,0,0,0,0,0,real
7,18,29,35,1,11,19,30,30,30,30,30,30,22,35,3,12,15,23,31,400,382,353,318,517,506,487,487,477,467,457,447,437,537,502,699,687,672,649,618,fake
9,18,22,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,191,173,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fake
