model,year,mpg,cylinders,horsepower,weight
chevrolet chevelle malibu,70,18.0,8,130.0,3504.0
buick skylark 320,70,15.0,8,165.0,3693.0
plymouth satellite,70,18.0,8,150.0,3436.0
amc rebel sst,70,16.0,8,150.0,3433.0
ford torino,70,17.0,8,140.0,3449.0
ford galaxie 500,70,15.0,8,198.0,4341.0
chevrolet impala,70,14.0,8,220.0,4354.0
plymouth fury iii,70,14.0,8,215.0,4312.0
pontiac catalina,70,14.0,8,225.0,4425.0
amc ambassador dpl,70,15.0,8,190.0,3850.0
dodge challenger se,70,15.0,8,170.0,3563.0
plymouth 'cuda 340,70,14.0,8,160.0,3609.0
chevrolet monte carlo,70,15.0,8,150.0,3761.0
buick estate wagon (sw),70,14.0,8,225.0,3086.0
toyota corona mark ii,70,24.0,4,95.0,2372.0
plymouth duster,70,22.0,6,95.0,2833.0
amc hornet,70,18.0,6,97.0,2774.0
ford maverick,70,21.0,6,85.0,2587.0
datsun pl510,70,27.0,4,88.0,2130.0
volkswagen 1131 deluxe sedan,70,26.0,4,46.0,1835.0
peugeot 504,70,25.0,4,87.0,2672.0
audi 100 ls,70,24.0,4,90.0,2430.0
saab 99e,70,25.0,4,95.0,2375.0
bmw 2002,70,26.0,4,113.0,2234.0
amc gremlin,70,21.0,6,90.0,2648.0
ford f250,70,10.0,8,215.0,4615.0
chevy c20,70,10.0,8,200.0,4376.0
dodge d200,70,11.0,8,210.0,4382.0
hi 1200d,70,9.0,8,193.0,4732.0
datsun pl510,71,27.0,4,88.0,2130.0
chevrolet vega 2300,71,28.0,4,90.0,2264.0
toyota corona,71,25.0,4,95.0,2228.0
amc gremlin,71,19.0,6,100.0,2634.0
plymouth satellite custom,71,16.0,6,105.0,3439.0
chevrolet chevelle malibu,71,17.0,6,100.0,3329.0
ford torino 500,71,19.0,6,88.0,3302.0
amc matador,71,18.0,6,100.0,3288.0
chevrolet impala,71,14.0,8,165.0,4209.0
pontiac catalina brougham,71,14.0,8,175.0,4464.0
ford galaxie 500,71,14.0,8,153.0,4154.0
plymouth fury iii,71,14.0,8,150.0,4096.0
dodge monaco (sw),71,12.0,8,180.0,4955.0
ford country squire (sw),71,13.0,8,170.0,4746.0
pontiac safari (sw),71,13.0,8,175.0,5140.0
amc hornet sportabout (sw),71,18.0,6,110.0,2962.0
chevrolet vega (sw),71,22.0,4,72.0,2408.0
pontiac firebird,71,19.0,6,100.0,3282.0
ford mustang,71,18.0,6,88.0,3139.0
mercury capri 2000,71,23.0,4,86.0,2220.0
opel 1900,71,28.0,4,90.0,2123.0
peugeot 304,71,30.0,4,70.0,2074.0
fiat 124b,71,30.0,4,76.0,2065.0
toyota corolla 1200,71,31.0,4,65.0,1773.0
datsun 1200,71,35.0,4,69.0,1613.0
volkswagen model 111,71,27.0,4,60.0,1834.0
plymouth cricket,71,26.0,4,70.0,1955.0
toyota corona hardtop,72,24.0,4,95.0,2278.0
dodge colt hardtop,72,25.0,4,80.0,2126.0
volkswagen type 3,72,23.0,4,54.0,2254.0
chevrolet vega,72,20.0,4,90.0,2408.0
ford pinto runabout,72,21.0,4,86.0,2226.0
chevrolet impala,72,13.0,8,165.0,4274.0
pontiac catalina,72,14.0,8,175.0,4385.0
plymouth fury iii,72,15.0,8,150.0,4135.0
ford galaxie 500,72,14.0,8,153.0,4129.0
amc ambassador sst,72,17.0,8,150.0,3672.0
mercury marquis,72,11.0,8,208.0,4633.0
buick lesabre custom,72,13.0,8,155.0,4502.0
oldsmobile delta 88 royale,72,12.0,8,160.0,4456.0
chrysler newport royal,72,13.0,8,190.0,4422.0
mazda rx2 coupe,72,19.0,3,97.0,2330.0
amc matador (sw),72,15.0,8,150.0,3892.0
chevrolet chevelle concours (sw),72,13.0,8,130.0,4098.0
ford gran torino (sw),72,13.0,8,140.0,4294.0
plymouth satellite custom (sw),72,14.0,8,150.0,4077.0
volvo 145e (sw),72,18.0,4,112.0,2933.0
volkswagen 411 (sw),72,22.0,4,76.0,2511.0
peugeot 504 (sw),72,21.0,4,87.0,2979.0
renault 12 (sw),72,26.0,4,69.0,2189.0
ford pinto (sw),72,22.0,4,86.0,2395.0
datsun 510 (sw),72,28.0,4,92.0,2288.0
toyouta corona mark ii (sw),72,23.0,4,97.0,2506.0
dodge colt (sw),72,28.0,4,80.0,2164.0
toyota corolla 1600 (sw),72,27.0,4,88.0,2100.0
buick century 350,73,13.0,8,175.0,4100.0
amc matador,73,14.0,8,150.0,3672.0
chevrolet malibu,73,13.0,8,145.0,3988.0
ford gran torino,73,14.0,8,137.0,4042.0
dodge coronet custom,73,15.0,8,150.0,3777.0
mercury marquis brougham,73,12.0,8,198.0,4952.0
chevrolet caprice classic,73,13.0,8,150.0,4464.0
ford ltd,73,13.0,8,158.0,4363.0
plymouth fury gran sedan,73,14.0,8,150.0,4237.0
chrysler new yorker brougham,73,13.0,8,215.0,4735.0
buick electra 225 custom,73,12.0,8,225.0,4951.0
amc ambassador brougham,73,13.0,8,175.0,3821.0
plymouth valiant,73,18.0,6,105.0,3121.0
chevrolet nova custom,73,16.0,6,100.0,3278.0
amc hornet,73,18.0,6,100.0,2945.0
ford maverick,73,18.0,6,88.0,3021.0
plymouth duster,73,23.0,6,95.0,2904.0
volkswagen super beetle,73,26.0,4,46.0,1950.0
chevrolet impala,73,11.0,8,150.0,4997.0
ford country,73,12.0,8,167.0,4906.0
plymouth custom suburb,73,13.0,8,170.0,4654.0
oldsmobile vista cruiser,73,12.0,8,180.0,4499.0
amc gremlin,73,18.0,6,100.0,2789.0
toyota carina,73,20.0,4,88.0,2279.0
chevrolet vega,73,21.0,4,72.0,2401.0
datsun 610,73,22.0,4,94.0,2379.0
maxda rx3,73,18.0,3,90.0,2124.0
ford pinto,73,19.0,4,85.0,2310.0
mercury capri v6,73,21.0,6,107.0,2472.0
fiat 124 sport coupe,73,26.0,4,90.0,2265.0
chevrolet monte carlo s,73,15.0,8,145.0,4082.0
pontiac grand prix,73,16.0,8,230.0,4278.0
fiat 128,73,29.0,4,49.0,1867.0
opel manta,73,24.0,4,75.0,2158.0
audi 100ls,73,20.0,4,91.0,2582.0
volvo 144ea,73,19.0,4,112.0,2868.0
dodge dart custom,73,15.0,8,150.0,3399.0
saab 99le,73,24.0,4,110.0,2660.0
toyota mark ii,73,20.0,6,122.0,2807.0
oldsmobile omega,73,11.0,8,180.0,3664.0
plymouth duster,74,20.0,6,95.0,3102.0
amc hornet,74,19.0,6,100.0,2901.0
chevrolet nova,74,15.0,6,100.0,3336.0
datsun b210,74,31.0,4,67.0,1950.0
ford pinto,74,26.0,4,80.0,2451.0
toyota corolla 1200,74,32.0,4,65.0,1836.0
chevrolet vega,74,25.0,4,75.0,2542.0
chevrolet chevelle malibu classic,74,16.0,6,100.0,3781.0
amc matador,74,16.0,6,110.0,3632.0
plymouth satellite sebring,74,18.0,6,105.0,3613.0
ford gran torino,74,16.0,8,140.0,4141.0
buick century luxus (sw),74,13.0,8,150.0,4699.0
dodge coronet custom (sw),74,14.0,8,150.0,4457.0
ford gran torino (sw),74,14.0,8,140.0,4638.0
amc matador (sw),74,14.0,8,150.0,4257.0
audi fox,74,29.0,4,83.0,2219.0
volkswagen dasher,74,26.0,4,67.0,1963.0
opel manta,74,26.0,4,78.0,2300.0
toyota corona,74,31.0,4,52.0,1649.0
datsun 710,74,32.0,4,61.0,2003.0
dodge colt,74,28.0,4,75.0,2125.0
fiat 128,74,24.0,4,75.0,2108.0
fiat 124 tc,74,26.0,4,75.0,2246.0
honda civic,74,24.0,4,97.0,2489.0
subaru,74,26.0,4,93.0,2391.0
fiat x1.9,74,31.0,4,67.0,2000.0
plymouth valiant custom,75,19.0,6,95.0,3264.0
chevrolet nova,75,18.0,6,105.0,3459.0
mercury monarch,75,15.0,6,72.0,3432.0
ford maverick,75,15.0,6,72.0,3158.0
pontiac catalina,75,16.0,8,170.0,4668.0
chevrolet bel air,75,15.0,8,145.0,4440.0
plymouth grand fury,75,16.0,8,150.0,4498.0
ford ltd,75,14.0,8,148.0,4657.0
buick century,75,17.0,6,110.0,3907.0
chevroelt chevelle malibu,75,16.0,6,105.0,3897.0
amc matador,75,15.0,6,110.0,3730.0
plymouth fury,75,18.0,6,95.0,3785.0
buick skyhawk,75,21.0,6,110.0,3039.0
chevrolet monza 2+2,75,20.0,8,110.0,3221.0
ford mustang ii,75,13.0,8,129.0,3169.0
toyota corolla,75,29.0,4,75.0,2171.0
ford pinto,75,23.0,4,83.0,2639.0
