day,date,time,operator,branch,driver,temperature,bill,pizzas
Thursday,01-May-14,33.708636338806656,Laura,East,Bruno,71.43308400823115,58.4,4
Thursday,01-May-14,29.382069521131054,Melissa,East,Salvatore,64.95292036097172,26.4,2
Thursday,01-May-14,33.580664072750245,Melissa,West,Salvatore,49.11345199680875,58.1,3
Thursday,01-May-14,32.50536931408349,Melissa,East,Salvatore,64.87255893148516,35.2,3
Thursday,01-May-14,25.493612878106557,Melissa,West,Salvatore,59.630052438466656,38.4,2
Thursday,01-May-14,21.727466099504877,Melissa,Centre,Bruno,53.71539090144464,61.8,4
Thursday,01-May-14,38.39416860565236,Laura,West,Bruno,60.266861611984694,57.9,3
Thursday,01-May-14,22.186178939856248,Melissa,West,Mario,61.18765422856175,35.8,2
Thursday,01-May-14,35.324993923020074,Laura,Centre,Mario,64.2040928298334,36.6,2
Thursday,01-May-14,34.01528012721081,Melissa,Centre,Bruno,67.38345179515879,44.8,5
Thursday,01-May-14,33.79208547291264,Melissa,Centre,Bruno,70.98305125726955,49.5,4
Thursday,01-May-14,29.131207017455978,Laura,East,Mario,69.9492409372676,49.7,3
Thursday,01-May-14,21.926461359808737,Melissa,West,Mario,60.79894109827493,41.1,1
Thursday,01-May-14,28.18540022904613,Melissa,Centre,Salvatore,72.4403482452369,42.9,1
Thursday,01-May-14,32.60320236978428,Laura,West,Bruno,63.11133605444137,25.9,1
Thursday,01-May-14,32.6487342948465,Melissa,West,Salvatore,55.732292723793485,41.5,6
Thursday,01-May-14,37.39850391391219,Melissa,Centre,Mario,54.5070395485304,34.9,3
Thursday,01-May-14,33.956135971691396,Melissa,East,Bruno,58.10393396313877,42.4,4
Thursday,01-May-14,26.37970769758006,Laura,East,Mario,56.51776407808116,27.3,1
Thursday,01-May-14,33.193287569202795,Melissa,Centre,Bruno,48.759258787129866,47.7,4
Thursday,01-May-14,25.49029796474575,Melissa,Centre,Mario,76.91611639568252,63.7,2
Thursday,01-May-14,31.603536836126903,Laura,East,Salvatore,57.98686421805294,31.3,3
Thursday,01-May-14,21.508114665919432,Melissa,West,Bruno,62.34339272595913,62.7,4
Thursday,01-May-14,25.39302972618712,Melissa,East,Salvatore,68.83931220075496,37.7,1
Thursday,01-May-14,13.887324220328471,Melissa,Centre,Bruno,74.83014318949711,47.5,3
Thursday,01-May-14,32.579239479080385,Melissa,Centre,Bruno,70.94708237917837,61.3,6
Thursday,01-May-14,38.38121159763282,Laura,Centre,Salvatore,64.30142263108218,48.9,5
Thursday,01-May-14,29.47148466564884,Melissa,West,Salvatore,62.76920594456255,27.0,2
Thursday,01-May-14,35.384990381901346,Melissa,West,Mario,78.87318281171505,45.5,3
Thursday,01-May-14,36.437955693060786,Melissa,West,Salvatore,69.21969018938272,49.6,6
Thursday,01-May-14,20.25958274674949,Laura,West,Mario,69.16998891499114,52.9,1
Thursday,01-May-14,35.29379816280542,Laura,East,Salvatore,63.76961388183315,24.7,1
Thursday,01-May-14,37.33203988003671,Melissa,West,Bruno,57.206103591502284,36.9,2
