Age,Income
28,28667
39,48929
34,88143
45,128510
45,25290
30,59025
30,37725
46,29000
58,41293
50,44013
32,40468
36,167355
41,93143
42,24809
32,24628
37,24238
36,60621
21,69375
45,43621
50,30204
32,98262
39,47635
24,60296
32,40975
55,24073
40,72920
33,71693
45,28504
31,39603
38,11624
50,97393
34,13108
46,48468
26,43612
42,96471
42,42742
28,42391
54,57874
34,45302
52,84897
24,107063
28,68063
23,133813
41,135841
38,67937
37,52763
23,108890
37,65513
31,6449
36,164292
25,22986
39,30545
38,45415
21,62678
39,18376
53,41085
45,46285
69,98317
58,31865
45,5310
30,58072
39,63981
35,32755
28,43125
33,195337
23,41647
34,42758
64,7560
26,38132
26,16867
43,49690
38,64113
35,65635
25,160747
29,46528
52,47399
34,29714
37,14850
21,109191
31,42418
34,86996
39,11110
53,15236
39,31511
42,36497
27,15050
43,153748
47,19031
40,20012
34,64245
27,82285
38,17430
36,93895
57,45993
35,21646
36,26455
37,67035
47,17736
23,119613
41,37438
44,18469
42,53089
46,56636
37,108489
60,43052
26,56740
22,44306
38,57309
25,56702
57,110296
31,136176
28,77658
35,14254
53,195212
50,29396
29,83543
32,118832
28,35326
52,34984
42,84770
43,76682
52,104626
45,47031
39,56446
30,35989
27,70289
31,134162
40,64786
24,31023
23,64375
31,87370
38,73335
49,57889
30,47007
27,66785
26,35510
71,44198
27,53470
31,46844
38,38722
21,135774
52,21746
62,20603
37,62752
25,42462
31,13438
43,34807
26,70706
37,19831
30,70124
62,19855
41,72027
29,119060
25,68255
45,40923
45,19272
44,22945
53,32607
40,14297
38,39958
28,183897
42,84185
57,29478
51,26599
70,50484
47,27486
37,5936
34,137696
51,94946
61,15597
38,60198
32,89260
31,11654
50,87386
28,13927
43,51023
32,35923
46,22265
45,66622
42,59358
39,8031
36,146595
48,12096
42,29580
34,83515
22,57727
32,46167
43,34315
35,54761
32,74711
40,74701
26,32169
27,60046
43,70128
26,39725
32,92213
39,67502
25,63319
46,44969
56,15415
63,96920
50,112170
39,32079
55,105786
43,39010
42,15518
23,42370
34,63419
30,121034
31,65870
24,37796
44,15668
36,167979
40,15000
39,23066
32,86476
34,115700
34,61636
35,60437
64,128396
32,129186
21,55603
54,37220
50,87940
32,36361
39,35490
32,26031
28,39245
29,97383
34,92532
24,73854
40,22620
44,116831
55,17317
33,30050
31,70699
32,48705
47,116592
52,155336
34,17661
20,31852
23,41972
26,71254
38,22930
25,70427
31,165394
24,40537
39,79604
22,116408
49,57613
31,23210
44,18804
37,31547
23,63299
38,52643
40,33840
28,24798
46,37617
39,81125
37,56034
39,94918
41,112591
29,33633
45,150313
49,12028
43,26312
41,16763
35,9383
49,53596
41,9137
31,8713
36,35836
33,153165
22,27098
38,79077
48,75615
57,11646
41,113866
24,175792
33,112754
23,97795
27,61485
38,13654
27,23569
38,163277
36,89985
49,135755
42,63917
52,44861
30,26241
29,32563
42,131542
52,17779
64,66426
40,56102
31,22015
39,70587
47,44487
39,55019
26,16793
30,11124
66,24340
34,21432
38,102393
36,64444
28,163977
27,94696
36,77319
67,23957
33,113599
42,87906
27,32182
24,46922
27,55549
27,16991
30,139456
37,115495
45,129972
50,183642
40,25159
48,47892
38,62116
42,73445
37,137049
51,124668
23,35934
45,101392
26,194726
24,23918
24,118621
23,6306
36,18235
33,73612
85,106844
25,43335
31,57464
76,60610
33,36997
50,116066
38,138803
57,148889
51,110426
45,63200
22,112821
59,128298
36,19098
28,193845
50,42958
29,27500
26,51084
43,190731
61,94201
37,108634
34,113874
22,84486
39,19577
59,16616
60,20663
54,7070
28,30220
39,58211
33,106500
32,131484
23,96476
49,28098
41,94604
25,134211
51,28730
45,101500
31,81267
47,19110
36,106142
22,72295
34,41416
34,48244
29,56335
47,16579
43,27047
38,63104
36,63814
35,118033
30,104494
39,111010
44,26461
30,18976
36,39164
25,92423
42,54481
51,46807
38,26163
71,74687
27,63459
21,12198
35,16064
55,66903
48,32855
35,16597
52,53273
29,42553
31,104317
42,87589
43,146507
22,111837
30,196440
38,117257
55,30830
32,58217
26,67554
36,169827
42,86655
31,19386
49,14202
52,70270
44,122028
30,27181
55,12549
55,72207
43,45053
53,55195
29,14558
36,109622
46,84749
58,116413
40,24849
53,27986
41,38962
23,28771
47,65202
32,12826
55,36158
35,92069
26,43011
59,6177
21,15038
41,151716
26,5869
27,22170
40,87742
64,19600
42,59730
44,50460
34,112173
26,30791
28,15378
44,39790
23,30003
35,8043
27,100384
39,51840
37,42528
38,18184
47,37751
55,31122
28,40520
42,43900
42,41572
30,49359
53,93125
37,111912
37,22306
31,52450
32,20585
31,48916
63,110544
28,31291
41,6971
38,6491
23,40057
37,31707
28,32339
25,17662
50,131123
22,38280
60,20488
31,65453
33,10455
26,92225
26,13263
33,62219
39,23169
26,31018
62,16671
27,13156
44,72584
35,67842
44,5456
31,123748
21,54367
35,7399
42,9257
24,56217
41,19009
32,68831
38,29023
29,14878
30,18178
55,75746
47,17749
26,36804
40,98945
51,80943
43,47232
36,9040
26,25450
23,78206
47,11425
26,38139
36,94611
